Application ID,Vertical ,Regions,Name of Application,Application Description,Users,Application Support Portfolio,Platform,Application Development Technology,Database Technology & Version,Application Support Type ( Support + Enhancements less than 160 hours),Incidents SRs,Version,Lifecycle Phase,Instances,Age ,approx. number of SR per month,approx. number of Incident per month,Number of non production environment
RB-AME152,LATAM,Medium,NWA Quality Analyst (Quality Analysis database),Quality Analysis database,5,Bronze,Custom,,Datafiles,Vendor,0,5.1,,,,,,
RB-AME153,LATAM,Medium,Facil (Invoice Printing),Invoices printing,6,Silver,Custom,,,Vendor,1,1.3,,,,,,
RB-AME154,LATAM,Medium,EDI Assenda (Columbia),EDI,2,Gold,Cloud,,,Vendor,2,,,,,,,
RB-AME155,LATAM,Medium,Nomiplus (Time and Attendance),Time and attendance,5,Silver,Custom,,,Vendor,2,,,,,,,
RB-AME156,LATAM,Medium,Payroll Algoliq (Argentina Payroll),Payroll Argentina,2,Silver,,,,,0,,,,,,,
RB-AME161,SOA,Low,SOA Bangladesh VAT System ,"Value Added Tax System, Depo users for shipment",12,Bronze,Custom,VB .NET,SQL Server 2008,Internal,15,NA,No,1,2,,,
RB-AME162,SOA,Low,CAMS - Excise Reporting India,Excise calculation and reporting,12,Silver,Custom,VB,SQL Server 2005,Internal,10,NA,No,1,11,,,
RB-AME164,SOA,Low,MMS (Mold Management System),Mold Management System,10,Bronze,Custom,Asp.Net,,Internal,1,NA,No,1,3,,,
RB-AME165,SOA,Low,Rhythm (Supply chain planning - being phased out),Rhythm used in India for Supply Network Planning.,10,Bronze,Custom,VB .NET + C,SQL Server 2005,Internal,5,NA,No,1,2,,,
RB-AME166,SOA,Low,Zoom/DMS,Distributor Order Shipping and billing system for Bangladesh,100,Gold,Cloud,COTS-BOTREE,SQL Server 2005,Internal,500,4.4.01,No,86,4,,,
RB-AME167,SOA,Low,CRS (Continuous Replenishment System),Continuous Replenishment System,200,Bronze,Custom,ASP .NET,MICROSOFT SQL SERVER 2012,Vendor,15,3,No,6,2,,,
RB-AME168,NAMET,Medium,E-Buyer (Non Production Spend),Non-Production Spend Management at HO and Factory,40,Bronze,Cloud,.NET,SQL,Internal / Vendor,5,,Yes,1,7,,,
RB-AME169,NAMET,Medium,E-Connect,Travel and Leave management system. It is a completely new tool which replaced E-travel and E-leave- Response by KA,180,Bronze,Cloud,.NET,SQL,Vendor,5,,No,1,2,,,
RB-AME170,NAMET,Medium,TimeTrax (Payroll management and Time tracking),Employee Payroll Management & Time Tracking for Factory,300,Bronze,Cloud,.NET,SQL,Vendor,5,,No,1,6,,,
RB-AME171,NAMET,Medium,E-Link (Customer order management),Customer Order Management,275,Silver,Cloud,.NET,SQL,Vendor,5,,No,1,9,,,
RB-AME172,NAMET,Medium,E-Quality (Customer complaints),System to manage Customer Complaints related to Product Quality,285,Bronze,Cloud,.NET,SQL,Vendor,2,,No,1,6,,,
RB-AME173,NAMET,Medium,S&D Pro (Sales Force Automation),Sales Force Automation & Distributor Management System ,125,Bronze,Custom,.NET,SQL,Internal / Vendor,20,,No,1,4,,,
RB-AME174,NAMET,Medium,DYS (Scan and follow-up customer invoices),Application to scan and follow up Customer Invoices previously named EDT,20,Gold,Custom,,,Vendor,0,,,,,,,
RB-AME175,NAMET,Medium,EnRoute SAS (Trade Execution - Turkey),Secondary Sales execution system,30,Bronze,Cloud,,,Vendor,0,,,,,,,
RB-AME176,NAMET,Medium,Item Creation (Turkey),,4,Gold,Custom,,,Vendor,0,,,,,,,
RB-AME177,NAMET,Medium,TraceGateWay,2D Pharma Barcoding System,8,Gold,Cloud,,,Vendor,0,,,,,,,
RB-AME178,NAMET,Medium,VMS,Vacation Management System,359,Silver,Custom,,,Internal / Vendor,0,,,,,,,
RB-AME179,NAMET,Medium,Activity Planning Tool (Promotion planning - Turkey),Promotional Planning,50,Silver,Cloud,,,Vendor,0,,,,,,,
RB-AME180,NAMET,Medium,BIMSA (Payroll),Payroll,2,Silver,Cloud,,,Vendor,0,,,,,,,
RB-AME181,NAMET,Medium,CMMS (Factory Maintenance Turkey),Factory maintenance and planning system,5,Bronze,Cloud,,,Vendor,0,,,,,,,
RB-AME182,NAMET,Medium,Tinventory - Local Asset management (Turkey),"The application is fix-asset management tool. All TR assets in the application. We are following all our assets with it. Tinventory had 4 functions 
1. HQ,assets by HR
2. Factory assets by Factory manager
3. IS asset by IS-PD
4. Personnel by all",6,Bronze,Custom,,,Internal / Vendor,0,,,,,,,
RB-AME183,NAMET,Medium,TopsPRo,The application is for package design. All items design and developed with that.,3,Bronze,Cloud,,,Vendor,0,,,,,,,
RB-AME184,NAMET,Medium,WMS (Warehouse Management System),Warehouse Management system. The application ensure us good stock management. We use barcoding system with handheld devices to follow all our product stock.,,Gold,Custom,,,Vendor,0,,,,,,,
RB-AME185,NAMET,Medium,Zen (Artwork Approval),Application is being used for artwork approval,,Bronze,Cloud,,,Vendor,0,,,,,,,
RB-AME186,NAMET,Medium,Turkey Sales Reporting (Microstrategy),"Sales Reporting - BI (IMS, 4P)",30,Bronze,Cloud,,,Vendor,0,,,,,,,
RB-AME187,NAMET,Medium,Demand Solution,Demand management and fulfilment application,10,Bronze,Cloud,-,SQL,Vendor,5,DSX,No,1,,,,
RB-AME188,NAMET,Medium,CreatePrint (Invoice print to PDF),Convert JDE Invoice spool file into PDF and then email to the customers and respective RB Staff,280,Bronze,Cloud,-,-,Internal / Vendor,3,-,No,1,,,,
RB-AME189,AFRICA,Medium,Shopware (e-commerce tool),SHOPWARE - production performance online.,1,Gold,Cloud,VB.NET,SQL,Vendor ,0,V15,No,1,,,,
RB-AME190,AFRICA,Medium,SL WMS (Plant Maintenance),Plant Maintenance Engineering,4,Gold,Custom,VB.Net,SQL,Vendor,5,,No,1,,,,
RB-AME207,CHQ,Low,Condeco (Meeting room booking system in CHQ),"Condeco is a centralised booking tool for managing meeting rooms, desks and multiple resources through a web based platform.",,Bronze,,,,,0,,,,,,,
RB-AME208,CHQ,Low,Intellisearch (Search engine for Global Business Intelligence),Search Engine Tool used by Global Business Intelligence team. It is a web-based application used within CHQ.Search external product information on RB's behalf,,Bronze,,,,,0,,,,,,,
RB-AME200,NOA,Low,China IMS (Oval - Service for gathering IMS),IMS (Similar to Trade Edge) - local IMS service,15,Silver,Custom,.NET,SQL Server 2012 Enterprise,Internal / Vendor,5,4.6,,1,,,,
RB-AME210,WEU,Low,E Planning,Financial Brand planning tool,20,Silver,Custom,Cognos,Sql Server 2000,Internal / Vendor,1,?,No,1,,,,
RB-AME201,NOA,Low,"China EPOS, CTMS, E-order","Sales POS collection, Trade spend management, 4P collection, order collection",300,Gold,Custom,.NET,SQL Server 2008 Enterprise,Internal / Vendor,5,3.2,,1,,,,
RB-AME211,WEU,Low,E Planning,Financial Brand planning tool,20,Silver,Custom,Cognos,Sql Server 2005,Internal / Vendor,1,?,No,1,,,,
RB-AME202,NOA,Low,China FIN Reports (Financial Reporting),Financial Reporting,5,Silver,Custom,.NET,SQL Server 2005,Internal / Vendor,3,1,,1,,,,
RB-AME212,WEU,Low,Archivo Electronico,invoice approval workflow,100,Bronze,Cloud,,,Vendor,10,?,No,1,,,,
RB-AME203,NOA,Low,China Legacy Payroll,Legacy payroll application running on Microsoft.Net platform,2,Silver,Custom,Client / Server,SQL Server 2005,Internal / Vendor,2,6.4,,1,,,,
RB-AME213,WEU,Low,Optio (Invoice Generation and Printing),Invoice generation and printing system,5,Silver,Custom,Vendor,Sql Server 2000,Internal / Vendor,1,?,Planned (Q4-15),1,,,,
RB-AME214,NAMET,Medium,TimeTrax (Payroll management and Time tracking),Employee Payroll Management,200,Bronze,Cloud,.NET/SQL,SQL,Vendor,3,-,No,1,,,,
RB-AME204,NOA,Low,China/HongKong TM1 (Financial Planning),Financial Planning Platform - target for replacement by Anaplan in longer term (Partha Mandal),30,Gold,Custom,TM1,IBM Cognos TM1 10.2,,40,10.2,,2,,,,
RB-AME215,NAMET,Medium,E-Leave,Employee leaves management,200,Bronze,Cloud,.NET/SQL,SQL,Vendor,3,-,No,1,,,,
RB-AME205,NOA,Low,China CRM (Microsoft Dynamics?),Consumer e-tailing information,30,Silver,Cloud,.NET based Microsoft Dynamics CRM Extension,SQL Server 2012 Enterprise,Internal / Vendor,20,2015,,1,,,,
RB-AME206,NOA,Low,Personalised Condoms (P1) - Web store - (Magento/Hybris),Personalised condoms store,17293,Gold,Custom,Magento / PHP,MySQL 5.6.22,Internal / Vendor,20,1.9.0.1,,1,,,,
RB-AME217,NAMET,Medium,OTM,"Transportation planning, shipment documentation & freight accruals Management",285,GOLD,Cloud,ORACLE,ORACLE,Vendor,0,-,Develop,1,0,,,
RB-AME218,NAMET,Medium,Daily Sales,Daily Sales reports - Global App,15,Silver,Cloud,.NET/SQL,SQL,Internal ,6,-,No,1,,,,
RB-AME232,Canada,Low,Local Reporting Servers,All these server host SQL packages / reports / Cube require to support Canadian local reporting. E.g. Daily Monitor Report / Special Pack forecast process / TM cube etc,50,Bronze,Custom,MS reporting servicer,Sql server 2012,Internal,2,SQL 2012,,,,,,
RB-AME220,NAMET,Medium,Freeweight,"Product weight recording application, it is recording each product in factory. Working an a standalone desktop computer in factory.",,Bronze,Cloud,,,Vendor,0,,,,,,,
RB-AME221,NAMET,Medium,Meyer - Door Access System,"Door access system is working for HQ, Tuzla,Gebze,Esenyurt Office. It is managing by Administrative manager.",,Gold,Cloud,,,Internal / Vendor,0,,,,,,,
RB-AME222,NAMET,Medium,Medy (E-Ledger submission/archive program),Creates required format and manages online submission for E-Ledger to the Turkish Government (GIB),,Silver,Custom,,,Internal / Vendor,0,,,,,,,
RB-AME224,NAMET,Medium,CreatePrint (Invoice print to PDF),Convert JDE Invoice spool file into PDF and then email to the customers and respective RB Staff,275,Bronze,Cloud,-,-,Internal / Vendor,1,-,No,1,4,,,
RB-AME225,USA,Low,Reporting Server,Local Canada Reporting,50,Bronze,Custom,MS reporting servicer,Sql server 2012,Internal,2,SQL 2012,,,,,,
RB-AME226,USA,Low,Cimplicity,Engineering controller system for flushing meadows toilet laboratory,20,Bronze,Custom,"Visual Studio, C++",SQLServer 2008,Vendor,0,8,,,,,,
RB-AME227,USA,Low,SIMS Server,"Sensory Informational Management System used for questionnaire development, test execution, consumer direct data entry system, statistical data analysis",10,Bronze,Cloud,,SQL Server 2008,Vendor,0,2000,,,,,,
RB-AME228,USA,Low,SIMS Server - Uses SAS,Systical analysis software,5,Bronze,Cloud,,,SAS,0,,,,,,,
RB-AME229,USA,Low,ARCS,Consumer Recruiting for sensory testing,10,Bronze,Cloud,,SQL Server 2005,Vendor,0,,,,,,,
RB-AME230,USA,Low,MicroStar,A workflow designed application used to manage requests/results for Microbiological testing.,100,Bronze,Custom,,SQLServer 2008,Vendor,0,,,,,,,
RB-AME231,USA,Low,MRS,Online Supply Services Reports for NAC,50,Bronze,Custom,MS reporting servicer,Sql server 2012,Internal,2,SQL 2012,,,,,,
RB-AME234,SEU,Low,PGM Unico,Line scheduling system,5,Bronze,Custom,Local Vendor,MS Access 2003,Vendor,5,1,No,1,1,,,
RB-AME235,SEU,Low,Agenda,Doctor Detailing System,32,Bronze,Cloud,Client-Server,SQL 2008,Vendor,2,,NO,1,,,,
RB-AME236,SEU,Low,Ergonwin (Access Control),Access Control System and Site Security,557,Silver,Cloud,Client-Server,SQL 2008,Internal / Vendor,2,,NO,1,,,,
RB-AME237,SEU,Low,Query Shell,Sales Reporting,239,Bronze,Custom,Client-Server,SQL 2000,Internal,15,NA,NO,1,,,,
RB-AME238,LATAM,Medium,Bancomer - Cash Windows,Bank application for electronic payment,1,Silver,,,,Internal,0,,NO,1,,,,
RB-AME239,LATAM,Medium,eMaint,Maintenance Software,4,Bronze,Cloud,Java/ SQL,,Vendor,2,X3,,1,,,,
RB-AME240,LATAM,Medium,iProveedor,Accounts payable visibility/tax certificates to suppliers,1,Silver,Cloud,,NA,Vendor,0,,,1,,,,
RB-AME241,LATAM,Medium,G4S Access,Entrance and cafeteria control,250,Silver,Custom,,SQL Server,Vendor,0,,,2,,,,
RB-AME242,LATAM,Medium,ISODOC / SoftExpert SE,"Software to manage documentation, action plans and trainings for para ISO 9001, 14001 e OHSAS 18001",30,Bronze,Cloud,Java,Oracle 9.0,Vendor,2,5,YES,1,,,,
RB-AME243,LATAM,Medium,H2W,Software to manage Pre-Emptive and Corrective Factory maintenance and also Line Controls.,10,Bronze,Cloud,C#,SQL Server 2015,Vendor,3,2,NO,1,,,,
RB-AME244,LATAM,Medium,SSCC,"Software to Manage Shipping Labels, Warehouse Movements and production booking",50,Gold,Cloud,C#,SQL Server 2015,Vendor,2,1,NO,1,,,,
RB-AME245,LATAM,Medium,KaWhy Gate,Gate Control of Carriers (Inbound and Outbound),90,Bronze,Custom,Java,Oracle 9.0,Internal / Vendor,15,NA,NO,1,,,,
RB-AME246,LATAM,Medium,KaWhy Customer Service,Suite of tools which exchange Invoice (XML) information with Key Customers,1,Bronze,Custom,Java,N/A,Internal / Vendor,5,NA,NO,1,,,,
RB-AME247,LATAM,Medium,SysCoop,Control of the members of the cooperative,5,Bronze,Cloud,Delphi,BDE,Internal,1,NA,NO,1,,,,
RB-AME248,LATAM,Medium,MJDS,Social security system Brazilian Government requirement,5,Bronze,Cloud,Delphi,BDE,Internal,1,NA,NO,1,,,,
RB-AME249,LATAM,Medium,E-Expense,Tool for Employee Expense Management,600,Bronze,Custom,?,?,Internal,0,,?,1,,,,
RB-AME250,LATAM,Medium,OAS - LATAM (Local),Workflow,100,Bronze,Custom,Java,SQL,Internal,3,,?,1,,,,
RB-AME251,LATAM,Medium,X-Plan,Software used for Demand planning calculations as heuristics and forecast models.,5,Bronze,Cloud,Java,Oracle 9.0,Vendor,3,5.5,YES,1,,,,
RB-AME252,LATAM,Medium,Latam BIZ,Brazil RB Intranet,1200,Bronze,Custom,Java,SQL iis,Internal,0,,Yes - Q4-15,1,,,,
RB-AME253,LATAM,Medium,Synchro SFW,"Solucao Fiscal Web is a cloud-based front-end application which handles SPED EFD Contribuicoes  which is suite of Govern Regulatory Reports divided in blocks, which includes Accounting information.",5,Bronze,Cloud,Java,SQL Server 2015 (On premises),Vendor,15,,NO,1,,,,
RB-AME254,LATAM,Medium,Synchro DFe Web,Nota Fiscal Eletronica (Brazil Electronic Invoice),250,Gold,Cloud,Java,Oracle,Vendor,80,12,NO,1,,,,
RB-AME255,LATAM,Medium,Synchro SOLFIS SPED Fiscal / Accounting,Regulatory Fiscal Reports,5,Bronze,Cloud,Java,Oracle 9.0,Vendor,10,5,NO,1,,,,
RB-AME256,ASEAN,Medium,RUMBA 2000,Printer server application for JDE,50,Bronze,Cloud,Vendor - Effect Makers,None,Service Integration,5,6,No,1,,,,
RB-AME257,ASEAN,Medium,DLP,Symantec Data Loss Prevention,150,Bronze,Cloud,Vendor - Effect Makers,Oracle 11,Internal / Vendor,5,11.6.3,NO,1,,,,
RB-AME258,ASEAN,Medium,Sphone,Telephone system(Recording & Distribution)  for CS center,4,Gold,Cloud,Vendor - Effect Makers,MS SQL 2005,Internal / Vendor,1,-,NO,1,,,,
RB-AME259,ASEAN,Medium,local S&OP tool ,S& OP tool ,10,Bronze,Custom,Excel,MS SQL Server ,Internal,2,-,,,,,,
RB-AME260,ASEAN,Medium,E-Expense,Expense Management System,100,Bronze,Cloud,ASP.NET,MS SQL Server ,Internal / Vendor,10,-,,,,,,
RB-AME261,ASEAN,Medium,EAA OAS,Online Approval System,200,Bronze,Cloud,ASP.NET,MS SQL Server ,Internal,10,-,,,,,,
RB-AME262,ASEAN,Medium,Sales tool (Local SEED),Local SEED - Distributor management system and sales force automation for Traditional Trade channel and Merchandiser module for 4P tracking,120,Bronze,Custom,Web-based application and mobile application,"SQL Server 2010 
( Hosted in Thailand)",Internal / Vendor,80,Version 4.993,NO,1,,,,
RB-AME264,ASEAN,Medium,Local Cognos,BI Tools - contain IMS Shipment NR TS ,50,Bronze,Custom,Cognos application,SQL Server 2008 ,Internal,3,,NO,1,,,,
RB-AME265,ASEAN,Medium,Local TSM,Trade spend management system using for sales and finance controller to accrue trade spend,50,Bronze,Custom,C# and VB.net,SQL Server 2008 ,Internal,10,,NO,1,,,,
RB-AME266,ASEAN,Medium,In Market sales application,IMS data upload for GT OTC and IDC,20,Bronze,Custom,Web-based application ,SQL Server 2008 ,Regional,5,,NO,1,,,,
RB-AME267,ASEAN,Medium,Daily sales data,Daily sales data application,10,Bronze,Custom,Database / Cognos,SQL Server 2008 ,Regional,5,,NO,1,,,,
RB-AME268,ASEAN,Medium,Old Sales Mining (Client / Server),"IMS data reporting system based on PLANET sales history data. This system is introduced about 8 years ago, and cannot run on W7 properly. This system has been replaced by SMS, but will alive until June.",70,Bronze,Cloud,Vendor - NTT Technology,Oracle 8,Internal,5,-,Yes- 2015,1,,,,
RB-AME269,ASEAN,Medium,Wholeseller Reporting on TM1,RB Shipping information reporting system on TM1 technology.,10,Bronze,Cloud,TM1,TM1,Internal / Vendor,5,-,NO,1,,,,
RB-AME270,ASEAN,Medium,Management Report on TM1,RBJ Management reporting with IMS information. ,5,Bronze,Custom,TM1,TM1,Internal / Vendor,5,-,NO,1,,,,
RB-AME271,ASEAN,Medium,Earth Chemical FTR reporting,"Earth Chemical IMS reporting system on PENTAHO solution due to different IMS data source and format with PLANET,",70,Bronze,Custom,PENTAHO,PENTAHO,Internal / Vendor,5,-,NO,1,,,,
RB-AME272,ASEAN,Medium,Earth Chemical Shipping reporting,Earth Chemical Shipping  to wholesellers reporting on PENTAHO solution.,10,Bronze,Custom,PENTAHO,PENTAHO,Internal / Vendor,5,-,NO,1,,,,
RB-AME273,ASEAN,Medium,Earth Chemical TI (Trade Investment) system,"Earth Chemical TI payment system, which creates payment record to send to Earth Chemical.",5,Gold,Custom,PENTAHO,PENTAHO,Internal / Vendor,5,-,NO,1,,,,
RB-AME274,ASEAN,Medium,Store Manager,Store shelf display demonstration system used by sales reps.,60,Bronze,Cloud,COST,N/A,Internal,2,-,NO,1,,,,
RB-AME275,ASEAN,Medium,PLANET EDI,"Order taking, Daily Invoicing and Monthly Invoicing are on EDI solution via PLANET VAN company.",0,Gold,Custom,AS2,N/A,Internal,2,-,NO,1,,,,
RB-AME276,ASEAN,Medium,Warehouse EDI,"Shipping request, Shipping Confirmation, Item Master information, PO receipt advice are run on EDI solution with MARUZEN warehouse.",0,Gold,Custom,AS2,N/A,Internal,2,-,NO,1,,,,
RB-AME277,ASEAN,Medium,Earth Chemical EDI,"Earth IMS, Shipping, Inventory information and related master data are provided to RB with EDI, and RB provides inventory information to Earth Chemical with EDI. ",0,Silver,Custom,ZENGIN,N/A,Internal / Vendor,2,-,NO,1,,,,
RB-AME278,ASEAN,Medium,Japan Consumption Tax Report on JDE (JP Localization),Consumption Tax reporting system to make tax report to submit to authority.,5,Bronze,Custom,AS400,N/A,Internal / Vendor,2,A7.3.10,NO,1,,,,
RB-AME279,ASEAN,Medium,RBSM,RB One Project - Spend Management,20,Silver,Cloud,COST - RB,N/A,Internal,2,,NO,1,,,,
RB-AME280,ASEAN,Medium,TSM,RB One project - Trade Spend Management,50,Silver,Cloud,COST - RB,N/A,Internal,5,,NO,1,,,,
RB-AME281,ASEAN,Medium,MDM,RB Master Data Management,15,Silver,Cloud,COST - RB,N/A,Internal,5,-,NO,1,,,,
RB-AME282,ASEAN,Medium,NPD Tracker,Used for NPD forecasting and actual analysis on Salesforce.com,50,Bronze,Custom,COST - Salesforce.com,N/A,Internal,5,,NO,1,,,,
RB-AME283,ASEAN,Medium,KINNOSUKE,RBJ attendance record system ,150,Bronze,Cloud,COST - HOYA service,N/A,Internal / Vendor,0,-,NO,1,,,,
RB-AME284,ASEAN,Medium,ShareStage,RBJ FTP site,150,Bronze,Cloud,COST - NTT Communications,N/A,Internal / Vendor,0,-,NO,1,,,,
